rank,country,trade_value_usd_thousand,quantity_kg
1,Indonesia,747845.41,555908000
2,United States,313676.23,125458000
3,Malaysia,313207.90,232925000
4,Brazil,205716.63,145568000
5,European Union,192939.56,84608800
6,Germany,130625.01,41566300
7,Netherlands,102613.43,25119200
8,United Kingdom,99615.20,44186800
9,France,91338.30,23626300
10,Italy,88463.46,44563700
11,Canada,82583.89,28184900
12,Colombia,73159.96,31837500
13,Japan,68596.78,21153300
14,Saudi Arabia,65674.37,27313300
15,Pakistan,63478.77,44129600
16,Mexico,60704.65,30861600
17,Sri Lanka,59717.61,43197100
18,Morocco,55387.25,29680600
19,Australia,48201.33,17706800
20,Spain,46813.91,15787900
21,Israel,44444.17,14677500
22,Singapore,42731.83,16150300
23,Philippines,37956.57,24429800
24,Oman,33738.98,13361100
25,Poland,30604.73,10111300
26,Thailand,29729.93,20454000
27,India,28566.37,22078700
28,Qatar,28550.30,10695500
29,South Africa,28404.28,13384100
30,Belgium,26924.93,8897290
31,Romania,26730.47,12899800
32,Viet Nam,25588.77,25278400
33,Ireland,25303.95,7840150
34,United Arab Emirates,21602.55,13873500
35,Kuwait,20375.90,11133500
36,Argentina,19873.84,6861960
37,Ecuador,18588.11,7928520
38,Iraq,16877.60,10197400
39,Belarus,16261.40,5348050
40,New Zealand,14910.51,4266720
41,Greece,14385.15,5707260
42,"Taiwan, China",13761.98,3017040
43,Portugal,13644.29,4763900
44,Panama,13117.29,5710690
45,Costa Rica,12791.59,5679170
46,Austria,12511.31,4911930
47,Czech Republic,12396.11,4210240
48,Dominican Republic,12240.95,7226100
49,Denmark,11917.97,3859920
50,Finland,11672.25,4079660
51,Paraguay,11616.23,6341280
52,Chile,11334.63,4771790
53,Trinidad and Tobago,11092.69,5536320
54,Guyana,10351.91,5778950
55,Norway,10069.41,3021900
56,Sweden,9928.10,3218550
57,Croatia,9698.90,4752420
58,Kazakhstan,9584.37,9958730
59,Switzerland,9245.54,2560770
60,Hungary,9022.57,4382370
61,"Serbia, FR(Serbia/Montenegro)",8844.13,3605440
62,Uzbekistan,8277.13,4690210
63,Lithuania,8225.06,2643600
64,Ukraine,7991.74,5563140
65,Russian Federation,7632.60,5335140
66,Bahrain,7385.56,2840170
67,Senegal,6973.19,3870860
68,Jordan,6777.55,4855090
69,Slovak Republic,6446.03,2335650
70,Mongolia,6230.39,6068370
71,Malta,6009.99,1531390
72,Slovenia,5764.35,2087170
73,Jamaica,5708.50,3183350
74,Luxembourg,5300.81,1551980
75,"Egypt, Arab Rep.",5246.10,2773550
76,Peru,4941.96,1734590
77,Algeria,4928.05,2174200
78,Bulgaria,4792.80,1832580
79,Mauritius,4756.26,1955770
80,"Bahamas, The",4747.29,3049910
81,Bosnia and Herzegovina,4407.94,2244340
82,Uruguay,4313.31,1983580
83,Latvia,4215.30,1270430
84,Nigeria,4211.51,7821970
85,Cyprus,4050.12,1119260
86,"Korea, Rep.",4020.53,544834
87,Georgia,3776.12,1664900
88,Albania,3722.08,1773490
89,Estonia,3635.61,1198280
90,Iceland,3472.94,985846
91,Honduras,3466.63,1872020
92,Botswana,3402.53,1618500
93,North Macedonia,3368.43,1292280
94,Suriname,3344.05,1848940
95,Barbados,2806.03,1466790
96,Lebanon,2523.74,1737870
97,Angola,2423.81,1179720
98,Maldives,2392.72,1289990
99,Namibia,2319.93,1356630
100,Montenegro,2265.20,1285210
101,Cameroon,2209.48,1162620
102,Mozambique,2094.25,1385060
103,Armenia,2072.97,1158800
104,Ghana,2045.53,1259650
105,Moldova,2010.42,1020580
106,Nepal,1966.04,2139730
107,Aruba,1862.08,864818
108,Macao,1812.22,690262
109,Belize,1809.98,1045540
110,Azerbaijan,1798.96,1025060
111,Greenland,1711.31,542888
112,Democratic Republic of the Congo,1709.30,751390
113,Fiji,1675.92,972526
114,Benin,1590.74,1138660
115,"Congo, Rep.",1585.67,780560
116,Liberia,1578.07,764060
117,El Salvador,1573.89,755409
118,Burkina Faso,1485.56,962816
119,Tanzania,1435.05,1273120
120,Monaco,1395.69,367873
121,Burundi,1360.07,667176
122,"Hong Kong, China",1328.57,410589
123,Samoa,1299.14,767160
124,Curacao,1220.20,578113
125,Djibouti,1211.04,1273980
126,Papua New Guinea,1210.15,660010
127,Gabon,1166.40,514760
128,Zimbabwe,1111.18,453150
129,Kyrgyz Republic,1107.16,500640
130,French Polynesia,1076.97,395833
131,Guam,1037.07,363093
132,Mauritania,1008.84,725350
133,Equatorial Guinea,998.16,460556
134,Cabo Verde,966.95,557555
135,Cook Islands,965.93,382970
136,Brunei,929.72,374000
137,Sao Tome and Principe,915.32,551878
138,Zambia,875.45,535350
139,Marshall Islands,869.54,333030
140,Guinea,861.53,436560
141,Rwanda,797.76,415950
142,Cote d'Ivoire,791.87,357216
143,Seychelles,775.05,261319
144,Myanmar,753.63,529243
145,Togo,716.20,444110
146,Guatemala,712.38,327792
147,Kosovo,671.88,413060
148,Tunisia,658.13,387970
149,Nauru,654.64,227665
150,Lesotho,607.51,350335
151,Solomon Islands,578.72,240060
152,Afghanistan,575.14,468175
153,Antigua and Barbuda,574.84,329060
154,Vanuatu,573.38,329600
155,Sierra Leone,572.34,305290
156,Chad,537.67,288800
157,Central African Republic,525.67,264390
158,Saint Lucia,524.65,263655
159,"Gambia, The",467.24,219252
160,Andorra,440.04,120970
161,Saint Vincent and the Grenadines,425.72,195940
162,Timor-Leste,415.43,247703
163,Dominica,404.76,208464
164,Netherlands Antilles,386.26,85179
165,Kiribati,350.61,139150
166,Liechtenstein,345.92,85864
167,Saint Kitts and Nevis,334.37,152958
168,Grenada,315.44,125203
169,Tonga,283.78,132765
170,Comoros,243.16,147960
171,"Micronesia, Fed. Sts.",169.16,84053
172,Eritrea,160.26,76360
173,Palau,117.45,55588
174,Tuvalu,17.63,9080
