country,rank_in_country,company_name,product_keyword,segment,website,phone,email,contact_person,address,source_url,source_type,notes
Indonesia,5,UD Hasil Bumi SLD,fresh garlic; imported garlic,importer/distributor/wholesaler,,+62 24 3545698,putri01sulardi@yahoo.com,Naning Sulardi Dewantoro,"Pasar Johar Tengah No.47, Jalan Padamaran, Semarang, Jawa Tengah 50139, Indonesia",https://www.indonetwork.co.id/product/bawang-putih-import-atau-import-white-garlic-kating-hunan-or-sinco-white-garlic-china-3304598,public business directory/product listing,"Indonetwork company and product pages identify UD Hasil Bumi SLD as an importer, buyer, seller and distributor of agricultural commodities at scale, with imported Chinese white garlic formats including Kating, Hunan and Sinco. The profile says the company serves wholesalers, retail buyers, food factories and modern retail and distributes across Java, Bali and outer islands. No standalone official company website was verified in the 2026-05-01 or follow-up 2026-05-01 source-strength reviews, so it remains a strong public product/directory challenger rather than Indonesia's official-source top lead."
Indonesia,7,CV. JAYA BOROBUDUR,fresh garlic; imported garlic,importer/distributor/wholesaler,,031-8439159,jayaborobudur@gmail.com,Aguswandi,"Jl. Mayjen Sungkono No.79 C, Surabaya 60225, Indonesia",https://jayaborobudur.indonetwork.co.id/info,public business directory,Surabaya distributor offering imported Chinese garlic in bulk
Indonesia,6,PT. Sumber Roso Agromakmur,solo garlic; imported garlic,importer/distributor,https://www.sumberrosoagro.com/,+62 811-1390-0614,,,"Jl. Bekasi Timur Raya No. 136, Cipinang Besar Utara, Jatinegara, Jakarta Timur, DKI Jakarta 13410, Indonesia",https://www.indonetwork.co.id/product/supplier-bawang-putih-jakarta-7135321,public business directory,Importer and distributor listing solo garlic and broader garlic range for food and beverage modern trade and foodservice clients
Indonesia,2,PT. Fajar Mulia Transindo,fresh garlic,importer/distributor/trader,https://fajarmuliatransindo.com/index.php,+62 31 749 0000,,,"Jl. Tanjung Batu 38-54, Surabaya, Indonesia",https://fajarmuliatransindo.com/index.php/lang/id/trading/garlic,official website,"Official garlic trading page says 95% of Indonesia's garlic supply is imported from China, describes strong relationships with producers and suppliers worldwide, says Fajar offers diverse garlic and onion products and positions the company as one of Indonesia's largest garlic distributors. The official page lists Super Garlic and FH Garlic brands plus Surabaya head office and Jakarta/Semarang branch contacts. Strong official fresh-whole garlic challenger for FCL qualification."
Indonesia,8,PT. ASIA DUTA MULYA,dehydrated garlic powder; dehydrated garlic flakes; minced garlic,processor/distributor,https://www.indonesiagarlicpowder.com/,(021) 4585 0550,jakarta@indonesiagarlicpowder.com,,"Artha Gading Niaga Blok B No. 26, Kawasan Sentra Bisnis Kelapa Gading, Jakarta 14240, Indonesia",https://www.indonesiagarlicpowder.com/contact/,official website,Official Indonesia Garlic Powder site lists garlic product lines and Jakarta sales office details
Indonesia,9,CV. INTERNUSA,dehydrated garlic powder; dehydrated garlic flakes; minced garlic,processor/distributor,https://www.indonesiagarlicpowder.com/,(031) 5926183,surabaya@indonesiagarlicpowder.com,,"Jl. Manyar 69A, Menur Pumpungan, Surabaya 60118, Indonesia",https://www.indonesiagarlicpowder.com/contact/,official website,Official Indonesia Garlic Powder site lists Surabaya sales office details for CV. INTERNUSA
Indonesia,1,PT Total Harvest Cemerlang,"fresh garlic; China-origin garlic; 20 kg mesh-bag garlic",importer/distributor,https://www.totalharvest.co.id/,+62 21 825 1202,enquiry@totalharvest.co.id,,"JL Raya Setu, Komplek Batik, Kav 8, RT004 RW001, Mekarwangi, Cikarang Barat, Bekasi, Jawa Barat 17520, Indonesia",https://www.totalharvest.co.id/bawang-putih/,official website + public trade database caveat,"Official Total Harvest pages say the company began in 2007 distributing agricultural food products and expanded into direct imports of agricultural foods and processed products from more than 15 countries. The official garlic page lists China-origin bawang putih in 4.5 cm, 5 cm, 5.5 cm and 6 cm sizes, packed in 20 kg mesh bags, and publishes Cikarang/Bekasi address, phone, WhatsApp, fax and enquiry email. Keep Total Harvest as Indonesia's top contact-ready official-source fresh-garlic FCL lead because it combines direct import language, fresh whole garlic product specs, container-suitable packing and contactability. Public Trademo Total Harvest profile shows 27 imports and 127 exports from Jan 2022 to Sept 2025, but the free-view import profile is sesame/green-mung-bean heavy rather than garlic-specific. Public Trademo Indonesia fresh-garlic buyer table instead ranks PT Cahaya Niaga Indah, PT Luthfi Samudera Rezeki and PT Andalan Alam Pertiwi as the strongest visible fresh-garlic shipment names; use paid customs to reconcile beneficial HS 070320 importer ownership before quoting containers."
Indonesia,4,PT Era Prima Anugerah Mandiri (EPAM),fresh garlic; semi-peeled garlic,importer/distributor,https://epamandiri.com/,,,,"Pergudangan Eraprima Blok J16-J17, Jl. Raya Daan Mogot KM21 No.1, Poris, Kec. Batu Ceper, Tangerang, Banten, Indonesia",https://epamandiri.com/,official website,Official site markets kating and honan garlic for wholesale industrial buyers and lists semi-peeled garlic for restaurant central-kitchen use in Jakarta
Indonesia,10,PT LANGGENG LARIS CEMERLANG,garlic powder; garlic flakes; garlic granules,importer/wholesaler/processor,https://langgenglariscemerlang.com/,+62 21-5239-7185 / +62 878-1878-0878,marketingsales@langgenglariscemerlang.com,,"Pegudangan Sentra Kosambi Dadap Blok D3 No. 38, Dadap, Tangerang, Indonesia",https://langgenglariscemerlang.com/contact/,official website,Official site identifies the company as an importer and wholesale supplier of garlic products for the Indonesian market
Indonesia,14,HSD Indonesia,black garlic,processor/retailer,https://hsdindonesia.com/,085888877823,cs@hsdindonesia.com,,"CBD Pluit Blok B-05, Pluit, Penjaringan, Jakarta Utara 14450, Indonesia",https://hsdindonesia.com/contact-hsd-black-garl/,official website,Official contact page says HSD Indonesia focuses on agriculture and quality food ingredients including black garlic and other allium products
