country,country_import_rank,trade_value_usd_thousand,priority_tier,company_name,rank_in_country,product_keyword,segment,website,phone,email,contact_person,address,source_url,source_type,notes
Indonesia,1,747845.41,Tier 1,PT Total Harvest Cemerlang,1,"fresh garlic; China-origin garlic; 20 kg mesh-bag garlic",importer/distributor,https://www.totalharvest.co.id/,+62 21 825 1202,enquiry@totalharvest.co.id,,"JL Raya Setu, Komplek Batik, Kav 8, RT004 RW001, Mekarwangi, Cikarang Barat, Bekasi, Jawa Barat 17520, Indonesia",https://www.totalharvest.co.id/bawang-putih/,official website + public trade database caveat,"Official Total Harvest pages say the company began in 2007 distributing agricultural food products and expanded into direct imports of agricultural foods and processed products from more than 15 countries. The official garlic page lists China-origin bawang putih in 4.5 cm, 5 cm, 5.5 cm and 6 cm sizes, packed in 20 kg mesh bags, and publishes Cikarang/Bekasi address, phone, WhatsApp, fax and enquiry email. Keep Total Harvest as Indonesia's top contact-ready official-source fresh-garlic FCL lead because it combines direct import language, fresh whole garlic product specs, container-suitable packing and contactability. Public Trademo Total Harvest profile shows 27 imports and 127 exports from Jan 2022 to Sept 2025, but the free-view import profile is sesame/green-mung-bean heavy rather than garlic-specific. Public Trademo Indonesia fresh-garlic buyer table instead ranks PT Cahaya Niaga Indah, PT Luthfi Samudera Rezeki and PT Andalan Alam Pertiwi as the strongest visible fresh-garlic shipment names; use paid customs to reconcile beneficial HS 070320 importer ownership before quoting containers."
United States,2,313676.23,Tier 1,Maurice A Auerbach Inc,1,"fresh garlic; bulk garlic; peeled garlic; imported peeled garlic; packaged garlic",importer/distributor/packer,https://www.auerpak.com/,201-807-9292,jvenables@auerpak.com,John Venables,"117 Seaview Drive, Secaucus, NJ 07094, USA",https://www.auerpak.com/our-products/garlic-products/,official website,"Official AuerPak garlic-products page lists bagged garlic, bulk garlic sourced domestically and from imported growing regions, California peeled garlic, imported peeled garlic, packaged garlic, elephant garlic and garlic braids. Official contact page publishes Maurice A. Auerbach Inc. at 117 Seaview Drive, Secaucus with phone and John Venables email/contact details, while public produce-trade coverage describes Maurice Auerbach as a major Northeast garlic and specialty-produce distributor. This replaces the weaker trade-directory-only source while preserving the fresh garlic and FCL fit."
Malaysia,3,313207.90,Tier 1,Ken Hin Food Industries Sdn Bhd,1,"fresh garlic; peeled refrigerated garlic; pure white garlic; black garlic; HS 070320",importer/wholesaler/trader/processor/distributor,https://kenhinfood.com.my/,+60 3-6144 6680,general@kenhinfood.com.my,,,https://kenhinfood.com.my/,official website + public trade database,"Official Ken Hin pages describe the company as one of Malaysia's largest importers, wholesalers and traders of culinary products including garlic, onion, potatoes and ginger, and one of Malaysia's largest suppliers of garlic cloves. Official pages say Ken Hin supplies millions of garlic cloves weekly to higher-end supermarkets, hotels, restaurants and wholesale catering outlets, and list peeled garlic stored in freezer or refrigerator in 200g/500g/800g/1kg packs, pure white garlic and black garlic. Volza Malaysia fresh-garlic data lists Ken Hin as the third fresh-garlic importer with 160 shipments, 378 total import shipments, 15 suppliers and sample 87,000 kg / 58,000 kg fresh normal white garlic imports in Nov 2024. This now outranks Keongco as Malaysia's top FCL-readiness lead because it combines official garlic-specialist/importer language with stronger public fresh-garlic shipment evidence; use paid customs to confirm beneficial HS 070320 ownership before quoting."
Brazil,4,205716.63,Tier 1,Partrade Importacoes e Exportacoes Ltda,1,"fresh garlic importation, white garlic, purple garlic, China-origin garlic and 10 kg boxes",importer/exporter/foreign-trade agency/garlic import route,https://www.partrade.com.br/,+55 21 2507 1060 / +55 21 2252 1254 / WhatsApp +55 21 99967 9535,sales@partrade.com.br; denis@partrade.com.br; aldo@partrade.com.br; alessandra@partrade.com.br; andreia@partrade.com.br,Denis Parisot; Aldo Fernandes; Alessandra Leite; Andreia Marins,"Rua da Assembleia, 10 / sala 2402, Centro, Rio de Janeiro, RJ 20011-901, Brazil",https://www.partrade.com.br/alho_br.html,official website,"Official Partrade garlic-importation pages describe Brazil importing approximately 10 million boxes of garlic per year from Shandong/Jinxiang, China and say Partrade has partnerships with two main certified Chinese exporters to assure quality, punctuality and large production volume. The official garlic page says Partrade offers exclusive brands for clients and its own NOTA 10 brand in net packaging from 250 g to 10 kg boxes. The official company page says Partrade was founded in 1996 in Brazil, provides foreign-trade solutions for import/export companies, has representation in garlic and other products and publishes direct commercial, logistics and finance contacts. This is now Brazil's strongest public official-source FCL garlic import route; Natari remains the strongest public paid-customs/FCL ownership target from the fresh-garlic buyer table, while Biofer, Alho Brasil, Agrolaf, Massy, Malibru, Naju and other official-site leads remain immediate outreach or channel-validation targets."
European Union,5,192939.56,Tier 1,Garlic Solutions,1,"bulk garlic bulbs; peeled garlic cloves; unpeeled garlic cloves; black garlic; organic garlic",garlic processor/distributor/foodservice supplier,https://www.garlicsolutions.com/en/,+31 182 205044,info@garlicsolutions.nl,,"Coenecoop 620, 2741 PV Waddinxveen, Netherlands",https://www.garlicsolutions.com/en/,official website + official product pages + official press release,"Official Garlic Solutions pages describe the company as one of the largest suppliers of garlic cloves in Europe and beyond, supplying more than four million garlic cloves each week to supermarkets, fresh meal boxes and wholesale catering outlets. Official pages list garlic bulbs in bulk, peeled and unpeeled garlic cloves, black garlic and organic garlic; the peeled-garlic page confirms Spain origin, year-round varieties, bulk crate-bag supply, private-label capability, refrigerated shelf-life options and 500 g / 1000 g packs. Official quality text cites FSSC 22000 and Skal organic certification, and the 2025 official packaging release adds 500 g / 1000 g recyclable peeled-garlic pouches for catering wholesalers. Promoted to European Union rank 1 because it has direct garlic specialization, pan-European scale, foodservice/supermarket fit and public phone/email/address details."
Germany,6,130625.01,Tier 1,JERSA Fruchtimport GmbH,1,"fresh whole garlic; garlic import and wholesale",importer/wholesaler/distributor,https://www.jersa.de/,+49 2202 980 860,jersa@jersa.de,,"Zum Scheider Feld 40, 51467 Bergisch Gladbach, Germany",https://www.jersa.de/en/garlic/,official website,"Official pages validate garlic import and wholesale in Germany since 1986, Spanish partner production across roughly 300-500 hectares, global sourcing from France, Italy, Argentina, Egypt, China, Turkey, Morocco, Chile and Mexico, multiple Spain/China/fresh garlic pack formats and direct company contact details. Promoted over Farmers Land because Farmers' free public trade profile is primarily shrimp/vannamei and garlic-seasoned prepared-seafood keyword evidence, not direct garlic commodity shipment proof."
Netherlands,7,102613.43,Tier 1,Garlic Solutions,1,"bulk garlic bulbs; peeled garlic cloves; unpeeled garlic cloves; black garlic; organic garlic",garlic processor/distributor/foodservice supplier,https://www.garlicsolutions.com/en/,+31 182 205044,info@garlicsolutions.nl,,"Coenecoop 620, 2741 PV Waddinxveen, Netherlands",https://www.garlicsolutions.com/en/,official website + official product pages + official press release,"Official Garlic Solutions pages describe the company as one of the largest suppliers of garlic cloves in Europe and beyond, supplying more than four million garlic cloves each week to supermarkets, fresh meal boxes and wholesale catering outlets. Official pages list garlic bulbs in bulk, peeled and unpeeled garlic cloves, black garlic and organic garlic; the peeled-garlic page confirms Spain origin, year-round varieties, bulk crate-bag supply, private-label capability, refrigerated shelf-life options and 500 g / 1000 g packs. Official quality text cites FSSC 22000 and Skal organic certification, and the 2025 official packaging release adds 500 g / 1000 g recyclable peeled-garlic pouches for catering wholesalers. Promoted to Netherlands rank 1 because it has stronger direct garlic specialization than the broader import-distribution routes."
United Kingdom,8,99615.20,Tier 1,Kay Bee Veg Ltd,1,"fresh garlic; fresh produce import and distribution",shipment-backed importer/distributor/wholesaler,https://kaybeeexports.com/,+44-7983-216600,info@kaybeebio.com,,"UK office: C/O H&M Freight Services Ltd, 2 Pier Rd, Feltham TW14 0TW; registered office: 5 Jardine House, Harrovian Business Village, Bessborough Road, Harrow HA1 3EX, United Kingdom",https://www.trademo.com/united-kingdom/buyers/fresh-garlic,official website + public trade database + company registry,"Trademo fresh-garlic buyer table ranks Kay Bee Veg Ltd first in the UK with 67 shipments and its free company profile shows 17,603 imports, USD 16.16M buyer trade value and India/Uganda/Ghana sourcing. Volza's UK fresh/mixed/vegetable and fruit/vegetable views separately identify Kay Bee among top UK fresh-produce buyers with 5,927 fresh/mixed/vegetable shipments and 4,032 fruit/vegetable shipments, while onion/fresh views list 272 Kay Bee allium-adjacent shipments. Kay Bee Exports' official integrated-business-model page identifies Kay Bee Veg Ltd UK as the dedicated UK sales team for 365-day import and distribution services, while UK Companies House lists Kay Bee Veg Limited as active with SIC 46310 wholesale of fruit and vegetables and 47210 retail fruit/vegetables. Kay Bee Bio contact page publishes the UK office phone/email/address. Best current UK fresh whole-garlic public route, pending paid-customs HS 070320 validation."
France,9,91338.30,Tier 1,Allium Distribution,1,"fresh garlic, white garlic, violet garlic, pink garlic, organic garlic, bulk and retail packaging, import-export and wholesale",importer/wholesaler/fresh garlic specialist,https://www.allium-distribution.com/en/,+33 3 85 30 26 26,,,"Cité de l'Entreprise, Bat MB, 200 Bd de la Résistance, 71000 Mâcon, France",https://www.allium-distribution.com/en/products/garlic/,official website,"Official Allium Distribution pages describe the company as a garlic, onion and shallot specialist founded in 2007 and based in Mâcon, with import-export, brokerage and wholesale services for distributors, manufacturers, packers, fruit-and-vegetable traders and half-wholesale buyers. Official pages validate garlic varieties including white, violet, pink and organic garlic, origins including France, Spain, Argentina, China, Egypt, Mexico and Chile, bulk/palox/cardboard/tray/net/bag packaging, ISO/HACCP/GlobalG.A.P supplier-standard references, complete logistics and customs expertise, and 5,200+ tonnes/year for garlic and onions. The official contact page publishes the Mâcon address and +33 3 85 30 26 26; no direct public email was exposed, so use the official contact form/phone for outreach. Trademo public France garlic-buyer pages remain useful for paid-data reconciliation against T & T Foods, Tang Freres, GFT France and other visible buyer names."
Italy,10,88463.46,Tier 1,Fresh Tropical SRL,1,"garlic; fresh, dry and frozen ethnic foods",shipment-backed importer/distributor/wholesaler,https://www.freshtropical.it/,+39-02-3592321,freshtropical@freshtropical.it,,"Via Alberto da Giussano 22, 20011 Corbetta (MI), Italy",https://www.trademo.com/italy/buyers/garlic,official website + public trade database,"Trademo Italy garlic buyer table ranks Fresh Tropical SRL first with 96 garlic shipments; Trademo company profile shows 11,350 import shipments, USD 140.14M buyer trade value and sourcing from Ecuador, India and the Philippines. Official Fresh Tropical pages position the company as a major Italy ethnic-food importer/distributor with 10,000+ products, 32 categories, fresh/dry/frozen ranges, 47,000 sqm storage area, six Italy locations, temperature-controlled logistics, 24-hour Italy delivery and public phone/email/branch contacts. Best current Italy contact-ready fresh-garlic FCL route, pending paid-customs HS 070320 validation."
